,0,1,2,3,size_Q
score,236.0,246.0,302.0,272.0,397.0
score,240.5,265.0,287.5,284.5,765.0
score,248.0,270.0,269.3333333333333,285.3333333333333,1131.0
score,237.0,259.5,286.75,277.75,1475.0
score,239.2,256.2,291.0,271.8,1828.0
score,240.33333333333334,264.6666666666667,287.5,269.1666666666667,2176.0
score,235.71428571428572,264.0,281.57142857142856,271.0,2513.0
score,239.125,263.5,285.625,269.625,2849.0
score,249.22222222222223,260.0,284.77777777777777,269.44444444444446,3183.0
score,251.6,265.0,286.6,266.2,3514.0
